,Characters,Quotes
296,Jack,"Thank you, Commodore, for getting us ready to make way. We?d have had a hard time of it by ourselves.\"
307,Will,"When I was a lad living in England , my mother raised me by herself. After she died, I came out here, looking for my father.\"
308,Jack,Is that so?\
309,Will,"My father, Will Turner . At the jail, it was only after you learned my name that you agreed to help. Since that?s what I wanted, I didn?t press the matter. I?m not a simpleton, Jack. You knew my father.\"
310,Jack,I knew&#160;?im. Probably one the few who knew him as William Turner . Everyone else just called him Bootstrap or Bootstrap Bill.\
311,Will,Bootstrap?\
312,Jack,Good man. Good pirate. I swear you look just like him.\
313,Will,"It?s not true. He was a merchant sailor. A good, respectable man who obeyed the law.\"
314,Jack,"He was a bloody pirate, a scallywag.\"
315,Will,My father was not a pirate. \
316,Jack,"Put it away, son. It?s not worth you getting beat again.\"
317,Will,"You didn?t beat me. you ignored the rules of engagement. In a fair fight, I?d killed you.\"
318,Jack,"Then that's not much incentive for me to fight fair, then, is it?   can you sail under the command of a pirate? Or can you not?\"
319,Will,Tortuga&#160;?\
320,Jack,"Tortuga .  More importantly, it is indeed a sad life that has never breathed deep this sweet, proliferous bouquet that is Tortuga , savvy? What do you think?\"
321,Will,It'll linger.\
322,Jack,"I?ll tell you mate, if every town in the world were like this one, no man would ever feel unwanted.\"
323,Jack,Scarlett&#160;!  Not sure I deserved that. Giselle! \
325,Jack,What?  I may have deserved that. \
328,Jack,"Ah, fortunately I know how to counter it. The man who did the waking buys, the man who was sleeping, a drink. The man who was sleeping drinks it while listening to a proposition from the man who did the waking.\"
330,Will,That was for the smell.\
331,Jack,\
333,Jack,"I?m going after the Black Pearl.  I know where it?s going to be, and I?m going to take it.\"
335,Jack,That?s why I know what Barbossa is up to. All I need is a crew.\
337,Jack,"Well, then I?d say it?s a very good thing I?m not a fool then, eh?\"
339,Jack,"Let?s just say it?s a matter of leverage, eh? \"
341,Jack,"That is the child of Bootstrap Bill Turner. His only child, savvy?\"
343,Jack,One can only hope. Take what you can? \
347,Elizabeth,"Well, you may tell the captain that I am disinclined to acquiesce to his request.\"
349,Elizabeth,It?s poisoned.\
351,Elizabeth,"Then release me, you have your trinket; I?m of no further value to you.\"
353,Elizabeth,It?s a pirate medallion.\
355,Elizabeth,"I hardly believe in ghost stories anymore, Captain Barbossa .\"
357,Elizabeth,And the blood to be repaid?\
362,Will,So this is your able-bodied crew?\
363,Jack,"You, sailor!\"
365,Jack,"Mr. Cotton&#160;? do you have the courage and fortitude to follow orders and stay true in the face of danger and almost certain death? Mr. Cotton&#160;! Answer, man!\"
367,Jack,Mr. Cotton 's... parrot. Same question.\
370,Jack,O?course it does.  Satisfied?\
371,Will,"Well, you?ve proved they?re mad.\"
373,Jack,\
374,Will,I suppose you didn?t deserve that one either.\
375,Jack,"No, that one I deserved.\"
377,Jack,Actually -  borrowed. Borrowed without permission. But with every intention of bringing it back to you.\
379,Jack,You?ll get another one.\
381,Will,A better one.\
382,Jack,A better one!\
383,Will,That one. \
384,Jack,"What one? That one?! Aye, that one. What say you?\"
388,Jack,It?d be far worse not to have her.\
389,Will,How can we sail to an island that nobody can find with a compass that doesn?t work?\
391,Jack,She can hold a bit longer.\
393,Jack,We?re catching up.\
397,Will,How is it that Jack came by that compass?\
399,Will,What? He failed to mention that.\
401,Will,Ah. So that's the reason for all the?  \
403,Will,Barbossa.\
405,Will,How did Jack get off the island?\
407,Will,He roped a couple of sea turtles?\
409,Will,What did he use for rope?\
410,Jack,Human hair?from my back. Let go of the anchor!\
412,Jack,Young Mr. Turner and I are to go ashore.\
414,Jack,Keep to the code.\
422,Jack,Pirate?s Code. Any man that falls behind?is left behind.\
423,Will,"No heroes amongst thieves, eh?\"
424,Jack,"You know, for having such a bleak outlook on pirates you?re well on your way to becoming one. Sprung a man from jail, commandeered a ship of the Fleet, sailed with a buccaneer crew out of Tortuga &#160;?and you?re completely obsessed with treasure.\"
425,Will,That?s not true. I am not obsessed with treasure.\
426,Jack,"Not all treasure is silver and gold, mate.\"
428,Will,Elizabeth .\
432,Will,Jack&#160;!\
433,Jack,Not yet. We wait for the opportune moment.\
435,Will,When?s that? When it?s of greatest profit to you?\
436,Jack,"May I ask you something? Have I ever given you reason not to trust me? Do us a favor&#160;? I know it?s difficult for you, but please stay here and try not to do anything stupid.\"
442,Will,"Sorry, Jack . I?m not going to be your leverage.\"
443,Elizabeth,That?s it?\
453,Elizabeth,No.\
470,Jack,"Am I not?  Palulay?palu-li-la-la-lulu, parlili? parsnip, pasley, par -  partner, partner?\"
472,Jack,Parley! That?s the one. Parley! Parley!\
474,Jack,That would be the French.\
476,Elizabeth,Not more pirates.\
478,Elizabeth,Mr. Gibbs&#160;?\
480,Elizabeth,Jack&#160;? Jack Sparrow&#160;?\
481,Will,He fell behind. \
485,Jack,"When you marooned me on that godforsaken spit of land, you forgot one very important thing, mate. I?m Captain Jack Sparrow .\"
487,Jack,"The girl?s blood didn?t work, did it?\"
489,Jack,I know whose blood ye need.\
490,Will,Pirate. Here. Let me. \
491,Elizabeth,Thank you.\
492,Will,You said you gave Barbossa my name as yours. Why?\
493,Elizabeth,I don?t know. \
494,Will,I?m sorry. Blacksmith?s hands - I know they?re rough.\
495,Elizabeth,"No?I mean yes, they are but? but don?t stop.\"
496,Will,Elizabeth .\
497,Elizabeth,It?s yours.\
498,Will,I thought I?d lost it the day they rescued me. It was a gift from my father. He sent it to me. Why did you take it?\
499,Elizabeth,Because I was afraid that you were a pirate. That would have been awful.\
500,Will,It wasn?t your blood they needed. It was my father?s blood?my blood?the blood of a pirate.\
501,Elizabeth,"Will, I?m so sorry, please forgive me. \"
503,Jack,"No. I expect to leave you standing on some beach with absolutely no name at all, watching me sail away on my ship and then I?ll shout the name back to you. Savvy?\"
505,Jack,"Of the two of us, I am the only one who hasn't committed mutiny, therefore?my word is the one we'll be trusting. Although?I suppose I should be thanking you because, in fact, if you hadn?t betrayed me and left me to die, I would have an equal share in that curse, same as you. \"
507,Jack,"I?m having a thought here, Barbossa. What say we run up a flag of truce? I scurry over to the Interceptor, and I negotiate the return of your medallion, eh? What say you to that?\"
511,Elizabeth,What?s happening?\
513,Elizabeth,This is the fastest ship in the Caribbean .\
515,Elizabeth,"We?re shallow on the draft, right?\"
517,Elizabeth,"Well, then can't we lose them amongst those shoals?\"
523,Will,Gibbs&#160;! We have to make a stand. We must fight! Load the guns!\
525,Will,Anything. Everything! Anything we have left.\
527,Elizabeth,Lower the anchor on the right side. On the starboard side!\
528,Will,It certainly has the element of surprise.\
531,Elizabeth,\
534,Will,Keep us steady now. Now!\
536,Elizabeth,Fire all! \
537,Jack,\
539,Elizabeth,Your turn.\
542,Will,She?s not what they?re after.\
543,Elizabeth,\
545,Will,Hey! Hey! Below!\
546,Jack,\
548,Jack,That?s not very nice. Where?s the medallion?\
549,Elizabeth,Wretch! \
550,Jack,Ahh. Where?s dear William&#160;?\
551,Elizabeth,Will&#160;?  Will!\
552,Will,Elizabeth&#160;!\
553,Jack,\
554,Elizabeth,I can?t move it.  Will!\
555,Will,Elizabeth&#160;!\
557,Jack,You?re welcome.\
561,Elizabeth,You?ve got to stop it! Stop it!\
563,Will,Barbossa!\
564,Elizabeth,Will.\
565,Will,She goes free. \
567,Will,She goes free!\
569,Jack,Don?t do anything stupid.\
570,Will,You can?t. I can. \
571,Jack,Like that.\
573,Jack,"No one. He?s no one. A distant cousin of my aunt?s nephew twice removed. Lovely singing voice, though&#160;? eunuch.\"
574,Will,My name is Will Turner . My father was Bootstrap Bill Turner. His blood runs in my veins.\
576,Will,"On my word do as I say, or I?ll pull this trigger and be lost to Davy Jones? Locker.\"
578,Will,Elizabeth goes free.\
580,Will,And the crew&#160;? the crew are not to be harmed.\
583,Will,"Barbossa, you lying bastard! You swore she?d go free!\"
587,Jack,I always liked you.\
588,Elizabeth,It goes with your black heart. \
592,Jack,I?d really rather hoped we were past all this.\
594,Jack,I did notice.\
596,Jack,"Last time, you left me a pistol with one shot.\"
598,Jack,"Seeing as there?s two of us, a gentleman?would give us a pair of pistols.\"
601,Jack,That?s the second time I?ve had to watch that man sail away with my ship.\
602,Elizabeth,"But you were marooned on this island before, weren?t you? So we can escape in the same way you did then.\"
603,Jack,"To what point and purpose, young missy? The Black Pearl is gone and unless you have a rudder and a lot of sails hidden in that bodice&#160;? unlikely - young Mr. Turner will be dead long before you can reach him.\"
604,Elizabeth,But you?re Captain Jack Sparrow . You vanished from under the eyes of seven agents of the East India Company. You sacked Nassau Port without even firing a shot. Are you the pirate I?ve read about or not? How did you escape last time?\
605,Jack,"Last time?I was here a grand total of three days, all right? Last time \"
606,Elizabeth,"So that?s it then? That?s the secret grand adventure of the infamous Jack Sparrow&#160;? You spent three days lying on a beach, drinking rum?!\"
607,Jack,"Welcome to the Caribbean , love. \"
609,Jack,"I love this song! Really bad eggs! Ooh.  When I get the Pearl back, I?m gonna teach it to the whole crew, and we?ll sing it all the time!\"
610,Elizabeth,And you?ll be positively the most fearsome pirate in the Spanish Main .\
611,Jack,"Not just the Spanish Main , love. The entire ocean. The entire wo?ld. Wherever we want to go, we?ll go. That?s what a ship is, you know. It?s not just a keel and a hull and a deck and sails that's what a ship needs but what a ship is?what the Black Pearl really is?is freedom.\"
612,Elizabeth,Jack&#160;?it must be really terrible for you to be trapped on this island.\
613,Jack,"Oh, yes.  But the company is infinitely better than last time, I think. The scenery has definitely improved.\"
614,Elizabeth,Mr. Sparrow&#160;?I?m not entirely sure that I?ve had enough rum to allow that kind of talk.\
615,Jack,"I know exactly what you mean, love. \"
616,Elizabeth,To freedom.\
617,Jack,"To the Black Pearl .  No! Not good! Stop! Not good! What are you doing? You burned all the food, the shade! The rum!\"
618,Elizabeth,"Yes, the rum is gone.\"
619,Jack,Why is the rum gone?\
620,Elizabeth,"One, because it is a vile drink that turns even the most respectable men into complete scoundrels. Two, that signal is over a thousand feet high. The entire Royal Navy is out looking for me, do you really think that there is even the slightest chance that they won?t see it?\"
621,Jack,But why is the rum gone?\
622,Elizabeth,"Just wait, Captain Sparrow. You give it one hour, maybe two, keep a weather eye out and then you will see white sails on that horizon.\"
623,Jack,There?ll be no living with her after this.\
625,Elizabeth,But we?ve got to save Will .\
627,Elizabeth,Then we condemn him to death.\
629,Elizabeth,To rescue me. To prevent anything from happening to me.\
630,Jack,"If I may be so bold as to inject my professional opinion. The Pearl was listing near to scuppers after the battle. It?s very unlikely she?ll be able to make good time. Think about it. The Black Pearl . The last real pirate threat in the Caribbean , mate. How can you pass that up?\"
632,Elizabeth,"Commodore, I beg you, please do this. For me. As a wedding gift.\"
634,Elizabeth,I am.\
635,Jack,"A wedding! I love weddings?drinks all around!  I know.&#160;?Clap him in irons,? right?\"
637,Jack,Inescapably clear.\
640,Will,You knew William Turner&#160;?\
652,Jack,"Not if you?re the one doing the ambushing. I go in, I convince Barbossa to send his men out with their little boats. You and your mates return to the Dauntless and blast the bejesus outta them with your little cannons, eh?  What do you have to lose?\"
654,Jack,"Now, to be quite honest with you, there?s still a slight risk for those aboard the Dauntless which includes the future Mrs. Commodore .\"
655,Elizabeth,Coward! The commodore ordered&#160;? I have to tell him! The pirates! They?re cursed! They cannot be killed!\
657,Elizabeth,This is Jack Sparrow&#160;?s doing! \
661,Jack,Beg your pardon.\
663,Jack,Excuse me.\
665,Will,Jack&#160;!\
667,Jack,Not probable.\
668,Will,Where?s Elizabeth&#160;?\
669,Jack,"She?s safe, just like I promised. She's all set to marry Norrington, just like she promised. And you get to die for her, just like you promised. So we're all men of our word really except for Elizabeth who is, in fact, a woman.\"
671,Jack,"You don?t want to be doing that, mate.\"
673,Jack,Your funeral.\
675,Jack,"Well, because &#160;?because the HMS Dauntless, pride of the Royal Navy, is floating just offshore. Waiting for you.\"
681,Jack,"Just hear me out, mate. You order your men to row out to the Dauntless. They do what they do best. Robert&#160;?s your Uncle, Fannie&#160;?s your Aunt, there you are with two ships. The makings of your very own fleet.&#160;?Course you?ll take the grandest as your flagship, and who?s to argue? But what of the Pearl&#160;? Name me Captain, I?ll sail under your colors, I?ll give you ten percent of me plunder and you get to introduce yourself as?Commodore Barbossa. Savvy?\"
683,Jack,"No, no, not at all by all means, kill the whelp. Just not yet. Wait to lift the curse until the opportune moment. For instance? \"
684,Will,You?ve been planning this from the beginning. Ever since you learned my name.\
685,Jack,Yeah.\
687,Jack,Fifteen.\
689,Jack,Twenty-five. And I?ll buy you the hat. A really big one?Commodore.\
691,Jack,All hand?s to the boats!  Apologies. You give the orders.\
693,Jack,Not to the boats? \
704,Jack,"Me? I'm dishonest. And a dishonest man you can always trust to be dishonest. Honestly. It's the honest ones you want to watch out for, because you can never predict when they're going to do something incredibly? stupid. \"
710,Jack,Sorry.\
712,Jack,Or you could surrender.\
716,Elizabeth,"And what about Jack , you?re just going to leave him?\"
719,Elizabeth,"The code? You?re pirates. Hang the code, and hang the rules! They?re more like guidelines anyway.  Bloody pirates.\"
726,Elizabeth,Whose side is Jack on?\
727,Will,At the moment? \
729,Jack,\
731,Will,He didn?t waste it. \
735,Elizabeth,We should return to the Dauntless.\
736,Will,Your fianc� will be wanting to know you?re safe. \
737,Jack,"If you were waiting for the opportune moment?that was it. Now, if you?ll be so kind, I?d be much obliged if you?d drop me off my ship.\"
738,Elizabeth,"I?m sorry, Jack.\"
739,Jack,They done what?s right by them. Can?t expect more than that.\
742,Jack,"Captain, Captain Jack Sparrow .\"
744,Elizabeth,This is wrong.\
747,Jack,\
749,Will,\
750,Elizabeth,\
752,Will,Move! \
755,Will,"And a good man.  If all I have achieved here is that the hangman will earn two pairs of boots instead of one, so be it. At least my conscience will be clear.\"
757,Will,It?s right here?between you and Jack .\
758,Elizabeth,As is mine.\
761,Elizabeth,It is.\
762,Jack,\
768,Will,I will accept the consequences of my actions.\
770,Will,Thank you.\
774,Elizabeth,No. \
775,Jack,I thought you were supposed to keep to the Code.\
777,Jack,Thank you.\
779,Jack,"And really bad eggs?drink up, me 'earties, yo ho.\"
781,Elizabeth,Will. Why is this happening?
782,Will,I don’t know.  You look beautiful.
783,Elizabeth,I think it’s bad luck for the groom to see the bride before the wedding.
793,Elizabeth,On what charges?!
794,Will,No!
796,Elizabeth,What are the charges?
799,Will,"Lord Beckett, in the category of questions not answered –"
800,Elizabeth,We are under the jurisdiction of the King’s governor of Port Royal and you Will tell us what we are charged with.
804,Elizabeth,Captain Jack Sparrow.
807,Jack,Do you mind if we make a little side trip? I didn’t think so.
809,Jack,"Complications arose, ensued, were overcome."
811,Jack,Muhuh.
816,Jack,Shiny?
818,Jack,"Is that how you’re all feeling, then? Perhaps dear ol’ Jack is not serving your best interests as Captain?"
820,Jack,What did the bird say?!
823,Jack,It does me.
825,Jack,"Gentlemen, what do keys do?"
828,Jack,"No.  We don’t have the key, we can’t open whatever it is we don’t have that it unlocks. So, what purpose would be served in finding whatever need be unlocked, which we don’t have, without first having found the key what unlocks it."
830,Jack,You’re not making any sense at all.  Any more questions?
832,Jack,Ah!  that way direction!
834,Jack,"Come on. Snap to and make sail, you know how this works. Oi, oi!"
840,Will,More acquaintance than friend. How do you know him?
842,Will,What mark did he leave on you?
844,Will,Recover. At the point of a sword?
846,Will,Somehow I doubt Jack Will consider employment the same as being free.
848,Will,So you get both Jack and the Black Pearl.
850,Will,The property you want that he possesses.
852,Jack,
854,Jack,Bootstrap. Bill Turner?
856,Jack,Is this a dream?
858,Jack,"I thought not, if it were, there’d be rum."
860,Jack,"I had some help retrieving the Pearl, by the way. Your son."
862,Jack,And to what do I owe the pleasure of your carbuncle?
864,Jack,"Ah. So it’s you, then. He shanghaied you into service, eh?"
866,Jack,It’s funny what a man Will do to forestall his final judgment.
868,Jack,"Technically, I –"
870,Jack,"Yes, but The Flying Dutchman already has a Captain, so there’s really –"
872,Jack,Any idea when Jones might release said terrible beastie?
874,Jack,
876,Jack,"I want a—- , plenty running. Run as if the devil himself and itself was upon us!"
878,Jack,Ah!
880,Jack,"I didn’t say port. I said land, any land."
882,Jack,"No, no, leave it."
884,Jack,Shh!
886,Jack,Nothing.
892,Elizabeth,Jack’s compass? What does Beckett want with that?
893,Will,Doesn’t matter. I’m to find Jack and convince him to return to Port Royal and in exchange the charges against us Will be dropped.
895,Will,Is that a lack of faith in Jack… or in me?
897,Elizabeth,I have faith in you. Both of you. Where Will you find him?
898,Will,Tortuga. I’ll start there and I won’t stop searching ‘till I find him. And then I intend to return here to marry you.
899,Elizabeth,Properly?
900,Will,"With your leave, if you’ll still have me."
901,Elizabeth,"If it weren’t for these bars, I’d have you already.  I’ll wait for you."
902,Will,Keep a weather eye on the horizon.
910,Will,"What’s wrong, the beach is right there?"
912,Will,What?
914,Will,"Ah, a familiar face."
916,Will,I’m not going to eat you.
918,Will,
920,Will,"Jack, it’s me, Will Turner!"
921,Jack,Pah se ko?
923,Will,Tell them to let me down.
924,Jack,
926,Will,"Jack, the compass, it’s all I need. Elizabeth is in danger. We were arrested for trying to help you. She faces the gallows!"
927,Jack,
929,Jack,Save me.
930,Will,"Jack, what did you tell them? No! What about Elizabeth? Jaaack!"
934,Elizabeth,You’ve got to tell me what’s happening.
936,Elizabeth,No! Will’s gone to find Jack!
938,Elizabeth,He’s a better man than you give him credit for.
940,Elizabeth,A fair trial for Will ends in a hanging.
947,Elizabeth,Then what is?
949,Elizabeth,I expect then that we can come to some sort of understanding. I’m here to negotiate.
951,Elizabeth,"These Letters of Marque, they are signed by the King?"
953,Elizabeth,"Or else I would not still be here. You sent Will to get you the compass and buy Jack Sparrow, it Will do you no good."
955,Elizabeth,"I have been to the Isla de Muerta, I have seen the treasure myself. There is something you need to know."
957,Elizabeth,
959,Elizabeth,These are not going to Jack.
978,Jack,
979,Will,Why would he do this to us? If Jack is the chief –
981,Will,So he had no choice. He’s a captive there as much as the rest of us.
983,Will,Where’s the rest of the Crew?
985,Will,"Well, we can’t just sit here and wait then, can we?"
986,Jack,Well done.
988,Will,"Come on men, it’ll take all of us to Crew the Black Pearl!"
990,Will,
992,Will,
994,Will,Stop.
996,Will,Move!
998,Jack,"Well, go on, go get them! Helalla!"
1000,Will,"Pull it loose, find a rock!"
1001,Will,Roll the cage!  Lift the cage!
1005,Jack,Stop it!
1008,Jack,
1017,Will,What about Jack? I won’t leave without him.
1018,Jack,Oi!
1019,Will,Time to go.
1022,Jack,Oi!  – Captain Jack Sparrow.
1024,Jack,"Yes to the first, yes to the second, but only as so far as we keep to the shallows as much as possible."
1026,Jack,"I have every faith in your reconciliatory navigational skills, Master Gibbs. Now, where is that monkey? I want to shoot something."
1027,Will,Jack.
1028,Jack,Ah.
1029,Will,Elizabeth is in danger.
1030,Jack,Have you considered keeping a more watchful eye on her. Maybe just lock her up somewhere?
1031,Will,"She is locked up in a prison, bound to hang for helping you."
1032,Jack,There comes a time when one must take responsibility for one’s mistakes.
1033,Will,"I need that compass of yours, Jack. I must trade it for her freedom."
1034,Jack,Mr. Gibbs?
1036,Jack,We have a need to travel upriver.
1038,Jack,"No, a resolute and unyielding need."
1039,Will,What we need to do is make sail for Port Royal with all haste.
1040,Jack,"William… I shall trade you the compass, if you Will help me…  to find this."
1041,Will,You want me to find this.
1042,Jack,"No. You want you to find this. Because the finding of this, finds you incapacitorially finding and/or locating in your discovering the detecting of a way to save your dolly belle ol’ what’s her face. Savvy?"
1043,Will,This is going to save Elizabeth.
1044,Jack,How much do you know about Davy Jones?
1045,Will,Not much.
1046,Jack,"Yeah, it’s going to save Elizabeth."
1057,Will,Why is Jack afraid of the open ocean?
1059,Will,And the key Will spare him that?
1061,Will,Her?
1063,Jack,"No worries, mates. Tia Dalma and I go way back. Thick as thieves. Nigh inseparable we are. Were. Have been. Before."
1065,Jack,It’s me front I’m worried about.
1067,Will,Mind the boat.
1073,Jack,Tia Dalma.
1075,Will,You know me?
1077,Jack,There’ll be no knowing here.  I thought I knew you.
1079,Jack,Come.
1081,Jack,I brought payment.  an undead monkey. Top that!
1084,Will,We’re looking for this.  And what it goes to.
1086,Jack,Maybe. Why?
1092,Will,What vexes all men?
1097,Jack,A woman!
1101,Will,What exactly did he put into the chest?
1106,Will,You knew this.
1107,Jack,"I did not. I didn’t know where the key was. But now we do. So, all that’s left is to climb aboard the Flying Dutchman, grab the key, you go back to Port Royal and save your bonnie lass, aye?"
1111,Jack,"My eyesight’s as good as ever, just so you know."
1113,Jack,Dirt. This is a jar of dirt.
1115,Jack,Is the… jar of dirt going to help?
1117,Jack,No.
1119,Will,It seems… we have a need to find the Flying Dutchman.
1123,Will,That’s the Flying Dutchman?  She doesn’t look like much.
1124,Jack,Neither do you… do not underestimate it.
1126,Jack,What’s your plan?
1127,Will,"I row over, search the ship until I find your bloody key."
1128,Jack,And if there are Crewmen?
1129,Will,I cut down anyone in my path.
1130,Jack,"I like it. Simple, easy to remember."
1132,Jack,"Oi! If you do have to get captured, just say Jack Sparrow sent you to settle his debt. Might save your life."
1134,Jack,Douse the lamps.
1135,Will,"Sailor. Sailor! There’s no use, you’ve run aground."
1137,Will,
1139,Will,Get back! Back!
