,Quotes,Characters
470,Leela Were trying to watch TV,Fry
472,So whos that weirdlooking guy,Fry
479,Hey uh why is the TV getting smaller,Fry
482,It looked good but I just dont feel like eating You want it,Fry
484,What are the cigars for,Fry
486,I cant believe they threw me out like that I must have been really acting like a jerk,Fry
488,I dont know Do refrigerators still come in cardboard boxes,Fry
490,Really Thatd be great You sure I wont be imposing,Fry
493,Cool Yknow Ive never even seen a robots apartment before,Fry
496,Its kinda cramped in here I dont even have room to hang my clothes,Fry
502,Uh listen Bender Uh wheres your bathroom,Fry
510,We sure are cheerful this morning,Leela
513,Oh its Benders apartment He put in carpeting yesterday so now my head hits the ceiling Hey do you realise youre standing at a weird angle  Now youre OK,Fry
514,Look at yourself Youre a wreck Youve got to find a new place to live,Leela
516,Love your optimism Fry But seriously youve got to tell Bender youre moving out,Leela
517,Yeah but he might get kind of upset I dont think I can do that to him,Fry
521,Im sorry Bender but theres just not enough room,Fry
523,What if I just helped the two of you find a bigger apartment,Leela
526,At least its got a great view,Leela
529,Wow Now this is fantastic,Leela
530,Hmm Im not sure we want to pay for a dimension were not going to use,Fry
531,Well I give up Whats the catch,Fry
533,Not one place even remotely liveable,Fry
535,Was his apartment rentcontrolled,Leela
540,Well this place has everything except the only thing I care about,Fry
544,Man its a total sty For the first time in a thousand years I feel like Im home,Fry
547,Happy housewarming Fry  Its a miniature fruit salad tree,Leela
552,Hey hang on All My Circuits is about to start,Fry
557,Sh The weddings about to start,Fry
559,Is he objecting or backing up,Fry
569,Come back Bender Its working,Fry
584,You had cable This is satellite,Leela
595,Its tempting but well I am already kinda settled in here,Fry
597,Uh listen is there maybe some way we could do this with you going and me not going,Fry
599,Well you were gonna live in the closet anyway Wont you be just as happy back in your old place,Fry
601,Ill come visit sometime And you can visit me here,Fry
603,Anyway Im sure itll work out This way well both be happy,Fry
615,Fry youre Benders best friend How could you let that mob kick him out,Leela
616,Ah come on Bender loves mobs,Fry
617,Only when hes in them and you know it You really hurt his feelings,Leela
618,Dont girl me with that girl stuff Bender and me are guys Guys dont have feelings,Fry
619,Benders not a guy hes a robot,Leela
623,Bender  My God youre a mess,Leela
625,Look at that five oclock rust Youve been up all night not drinking havent you,Leela
627,Please Bender Have some malt liquor If not for yourself then for the people who love you,Leela
629,Oh now look Its obvious you miss being Frys roommate But theres got to be a better way to deal with this,Leela
631,Well if that would work,Leela
633,Wait I want you to look me in the eye and promise you wont get behind the wheel without some kind of alcoholic beverage in your hand,Leela
636,I cant just stand by and be silent about Bender anymore,Leela
637,Silent Youve been meddling for two solid weeks,Fry
638,Well I cant just do that anymore Your best friend is out there somewhere destroying himself,Leela
639,Really I didnt think hed miss this apartment that much,Fry
640,He doesnt care about the apartment he cares about you And you turned your back on him,Leela
641,Oh man I had no idea If only I knew where he was Id go talk to him,Fry
642,Oh stupid TV  Bender Youre blindstinking sober,Fry
647,Cutting Leelas head off wont solve anything,Fry
649,Hey yeah That sounds good Can I give you a hand,Fry
650,Fry Dont help him mutilate himself,Leela
651,But its a useless antenna Its not like hes a ham radio or something,Fry
653,Hey it works The statics gone,Fry
658,You guys could learn a lesson from those two,Leela
661,Apology accepted After all youre only human,Fry
662,Wait a minute You did it all backwards  Oh never mind,Leela
665,Aw this isnt right Listen Bender if we found your antenna could they still reattach it,Fry
672,So thats where those skin flakes went Hmm do you think this fruit trees going to get enough light,Fry
674,This is huge Bender why dont I just live in here,Fry
676,This place was a great choice The food is amazing And such generous portions,Leela
678,You know Doug most guys are put off by my eye Its nice to finally meet someone whos openminded  Ew,Leela
679,What was wrong with your date last night,Fry
680,I dont know Something I couldnt quite put my finger on Possibly his vile lizard tongue,Leela
682,Yeah If you rule out every guy with a lizard tongue or a low IQ or an explosive violent temper of course youre gonna be lonely,Fry
683,Theres nothing wrong with having high standards Now can we please stop,Leela
686,Thank you all for the inspiring advice but Im perfectly happy with my life the way it is,Leela
694,Whys everyone wearing those rings,Fry
711,No way Weve got so much in common,Fry
713,Uh yeah That rings a bell,Fry
719,Thats great really but hes just not what Im looking for,Leela
723,Pst I need the apartment tonight Go see a saucy puppet show,Fry
727,Could you guys please stop talking about my personal life,Leela
737,Wait What about the animals,Leela
739,Yes but what about the animals,Leela
743,So we have to bring back two of each kind Just like Noahs Ark,Leela
745,I bet you Leelas holding out for a nice guy with one eye,Fry
747,Yeah thatd be a timesaver,Fry
750,Thank you But I dont care how many eyes a man has  as long as its less than five All Im looking for is a guy whos adventurous selfconfident,Leela
758,Hey look Thats Zapp Brannigans ship,Leela
761,Whos the Zapp Brannigan,Fry
764,They say Zapp Brannigan singlehandedly saved the Octillian System from a horde of rampaging Killbots,Leela
767,Hes the most decorated captain in the whole Democratic Order of Planets,Leela
769,No I dont But I think we ought to meet with him and see if hell help us rescue those animals,Leela
775,Hello Im Leela captain of the Planet Express delivery ship Weve come aboard to plead for your assistance,Leela
778,Oh not at all Im just so uh really thrilled to meet you,Leela
782,I heard that one time you singlehandedly defeated a horde of rampaging somethings in the somethingsomethingsystem,Fry
784,Wow I never would have thought of that,Fry
787,Captain Brannigan we really need to talk to you about our mission,Leela
790,Were hoping to save the animals of Vergon 6 from extinction And if you could just,Leela
794,But people already interfered That planet was mined completely hollow,Leela
796,This doesnt make any sense,Leela
798,Fine Well save the animals without your help,Leela
802,Dang Can I get this wrapped up,Fry
803,Ow I mightve liked Zapp Brannigan if he werent a pompous dimwit who threw me in prison,Leela
819,Good This will be my chance to reason with him captain to captain,Leela
823,I didnt realise you were such a coinasewer,Leela
827,If we could speak seriously for a moment,Leela
829,Id like you to reconsider letting us rescue those animals,Leela
833,We can definitely escape Bender All you have to do is bend the hatch off this steam pipe,Fry
835,No good Its full of steam,Fry
837,Im not really in the mood,Leela
839,Can I please just go back to prison,Leela
841,Much rather  What are you doing,Leela
843,No And its pronounced shampane,Leela
851,Oh come on Cheer up Its not that bad,Leela
852,You wanna try escaping again,Fry
854,Man Leelas been gone a long time I hope shes at least making progress with Zapp Brannigan,Fry
858,Zapp last night was a mistake,Leela
860,No just a regular mistake For a split second my common sense was overwhelmed by pity,Leela
862,The only kind of crawling Im doing to you is away  from,Leela
864,Look Im going down to Vergon 6 to save those animals whether you like it or not,Leela
866,Threaten all you Wait What,Leela
879,Alright we dont have much time to collect these animals The planet is supposed to collapse in approximately two hours ago,Leela
880,Hello there  Hmm He doesnt seem to be on the checklist,Leela
882,Yeah a barbecue Ill wear my hilarious apron,Fry
883,No I dont care how hilarious your apron is were not cooking him  Aww Ill call him Nibbler,Leela
885,I hope hell be OK in there with all those big animals,Leela
890,Good Thats the last species,Leela
894,I cant believe we flew halfway across the galaxy and enjoyed a steam just to get lunch for that stupid animal,Fry
896,Leave him alone Its not his fault that hes an unstoppable killing machine Is it snoogums,Leela
898,Prepare for liftoff  Were out of fuel Bender I told you to fill the tank before we left,Leela
900,Man lucky for us Zapp Brannigans nearby,Fry
901,No way Forget it I refuse to go crawling back to him,Leela
902,What What are you talking about,Fry
905,How could you Leela I thought you had some standards I mean jeez hes a dumb gross gorilla,Fry
906,Thats enough Dont you think I feel bad enough already,Leela
908,Alright alright Ill call him  I mean if living is that important to you,Leela
913,and Vergon 6 is about to implode We need your help,Leela
917,Look are you going to rescue us or not,Leela
923,I would never abandon a helpless animal Yknow Zapp once I thought you were a big pompous buffoon Then I realised that inside you were just a pitiful child But now I realise that outside that child is a big pompous buffoon,Leela
925,Wow Way to tell that guy off Now whats your secret escape plan,Fry
926,Uh I guess to sit here and wait for death,Leela
930,I dont believe it Its dark matter,Leela
932,His species mustve filled the entire planet with it Did you do that you cute little  Come on That should be more than enough fuel to get us outta here Bender pick it up and put it in the engine,Leela
933,We made it  And some of the animals survived,Leela
941,What do you think of the view Fry,Leela
942,It really puts things in perspective I mean from up here an entire world can seem utterly insignificant,Fry
944,I dont get it Is blernsball exactly the same as baseball,Fry
946,Face it Fry Baseball was as boring as mum and apple pie Thats why they jazzed it up,Leela
947,Boring Baseball wasnt  hmm so they finally jazzed it up,Fry
950,What just happened Why is the ball on that springy thing,Fry
951,Its traditional Just like aluminium bats and the seventh inning grope,Leela
958,Mmmm at least hot dogs havent changed,Fry
962,Hey Im starting to get the hang of this game The blerns are loaded the counts three blerns and two antiblerns and the infield blern rule is in effect right,Fry
963,Except for the word blern that was complete gibberish The blernsball falls into a hole and indescribable mayhem ensues Fry scratches his head in confusion Leela writes on her score card All right Yes,Leela
965,Millers on a pace to hit 70 blerns,Leela
968,Exactly He was a machine designed to hit blerns I mean come on Wireless Joe was nothing but a programmable bat on wheels,Leela
972,What are you talking about Theres all kinds of robots down there,Fry
989,Hey hold on I understand these robots hate humans but how do they feel about humanoid aliens,Leela
993,This is the first actual work youve ever had to do around here,Leela
997,Oh come on Bender Last month it was Robomadan and before that Robonzaa,Leela
998,Man that one was a blast,Fry
1003,So let me get this straight,Fry
1005,Oh Kinda like how a warehouse is inhabited by boxes,Fry
1006,OK Bender were here Its time to get to work,Leela
1008,Now we cant land on the surface because those robots will kill Fry and me so well have to stay up here and lower you with the winch And remember,Leela
1010,Hmm he seems pretty angry,Leela
1011,Yeah but I guess Id be angry too if I had to go to some uninhabited planet,Fry
1012,Maybe we ought to do something nice for him,Leela
1013,There That ought to show that stupid robot we care about him,Leela
1014,Ah Bender must be done with the delivery,Fry
1016,Oh my God We have to go down and rescue him,Fry
1017,No we cant Theyll kill us on sight,Leela
1018,Well what are we going to do,Fry
1019,I dont know I dont know Its not an easy decision If only I had two or three minutes to think about it,Leela
1020,OK If were going to save Bender weve got to look and act exactly like robots,Leela
1022,We have to walk like robots talk like robots and if necessary solve complex differential equations like robots,Leela
1023,I can sort of dance like a robot Will that help,Fry
1024,Fry first of all this is serious And second of all,Leela
1025,Man we look stupid We shouldve gotten store bought costumes,Fry
1026,Yeah but there wasnt a Woolworths in this quadrant,Leela
1030,Uh yup Just two robots out roboting it up  Eh,Fry
1034,Is the puppy mechanical in any way,Fry
1036,Then well go with that data file,Leela
1040,Now if you see any robots just stay out of their way  So far so good,Leela
1042,Have you seen this robot,Leela
1044,Come on Fry walk like a robot,Leela
1045,I cant I have to go to the bathroom,Fry
1046,Robots dont have bathrooms,Leela
1047,Oh right I wonder where they all smoke in high school,Fry
1048,Listen Just go behind those garbage cans Ill stand guard,Leela
1053,I think the leaks stopping itself  Wait Yeah,Fry
1055,Im sorry My friend and I have to go and perform some mindless repetitive tasks,Leela
1060,Quick Lets duck in here,Leela
1073,OK Keep an eyeout for Bender,Leela
1075,Umm too much romance not enough human killing,Fry
1079,Try to stay with the crowd so no one notices how crummy you look,Leela
1087,Ahh Its good to hear his voice,Fry
1089,My God Hes become evil  I mean eviler,Fry
1105,Weve been looking for you Last we heard you were under arrest as a human sympathiser,Fry
1107,Good for you Now lets all get back to the ship,Leela
1113,But Bender were your friends,Fry
1117,Bye Bender Ill miss you,Fry
1125,Hey wait a minute Isnt anyone gonna defend us,Fry
1126,Yeah I mean he might not have a case but Im genuinely not human,Leela
1137,Look One eye Count them,Leela
1151,But the judge already sentenced us at the trial,Fry
1173,Stop Take one more step and Ill breathe fire on you,Fry
1179,So long suckers  Uh hello suckers,Fry
1184,We wanted to show you that we really do respect your robot heritage,Fry
1187,But that doesnt make it any less meaningful,Fry
1189,I cant take it anymore Theyve been at it for hours   Give it a rest you two,Fry
1192,Uh excuse me I missed a few lectures Uh what subject is this,Fry
1197,What a weird dream Ill never get back to sleep,Fry
1198,So youre telling me they broadcast commercials into peoples dreams,Fry
1200,But how is that possible,Fry
1202,Thats awful Its like brainwashing,Fry
1203,Didnt you have ads in the 20th century,Leela
1204,Well sure but not in our dreams Only on TV and radio And in magazines and movies and at ball games on buses and milk cartons and Tshirts and bananas and written on the sky But not in dreams No siree,Fry
1212,Cool  Can I try these on before I buy them,Fry
1218,30 I cant afford that Unless  Do you take Visa,Fry
1225,No I cant afford them Being poor sucks What kind of world is this where they advertise things not everybody can afford,Fry
1228,Hey whos the rocker jockey,Fry
1234,Hey Bender Sounds like you could use a little of that oil,Fry
1239,78 79 7950 Crud Were 50 cents short,Fry
1240,Id love to chip in but Bender stole my wallet,Leela
1241,Hey thats my old bank Maybe my accounts still open,Fry
1243,Yeah well I did open the account over a thousand years ago What about my ATM card,Fry
1245,Sure Its the price of a cheese pizza and a large soda back where I used to work Panuccis Pizza,Fry
1251,I know Frys rich but do we really have to wear these top hats,Leela
1253,Pizza dinner on me  Just keep the tab under 50 million,Fry
1255,Uh yeah Well have one with everything but anchovies and one with my all time favourite topping anchovies,Fry
1257,Anchovies You know Those little headless fish,Fry
1263,So none of you has ever had anchovies Oh man You dont know what youre missing They were all salty and oily and they melted in your mouth and,Fry
1265,I just wish I couldve showed you guys how great they were I may be rich but I still cant buy back all the things I miss from the 20th century,Fry
1268,I know you spent a lot of money on this place Fry but its awfully primitive  The floors are made of such hard wood,Leela
1276,I just dont get it Who was this Ted Danson and why would you pay 10000 for his skeleton,Leela
1277,I have an idea for a sitcom,Fry
1279,Youre just saying that because he bought you that antique robot toy,Leela
1288,Are you crazy Its a can of old fish,Leela
1289,Dont tell me how to spend my money,Fry
1292,Oh my God Its Mom Ive never seen her in person before,Leela
1294,Fry you cant bid against Mom shes the richest most powerful person in the world And shes so adorable,Leela
1304,Oh In that case 50 million,Fry
1309,Now for some good old 20th century TV,Fry
1315,You havent been to work in three days What have you been doing,Leela
1316,Ive been sitting right here I picked up my life exactly where I left off a thousand years ago Now if youll excuse me its eight oclock Time to get bizay,Fry
1317,You cant just sit here in the dark listening to classical music,Leela
1318,I could if you hadnt turned on the lights and shut off the stereo,Fry
1319,Fry this isnt healthy Youre living in the past,Leela
1320,Im rich I can live whenever I want,Fry
1321,But were your friends and we live here in the year 3000,Leela
1323,Junk Maybe you cant understand this but Ive finally found what I need to be happy and its not friends its things,Fry
1326,Fry please   My ponytails caught in the door,Leela
1327,I dont need them Not when I have my antique videos my bucket of fossilised KFC and 50 million dollars worth of anchovies,Fry
1351,Its the price of a cheese pizza and a large soda,Fry
1363,That sounds like me but I thought I got frozen Wasnt I in the future,Fry
1365,So Im really back Thats exactly what I wanted I guess Who are you,Fry
1367,You are Did you grow a moustache since last night,Fry
1382,Wait Youre Pamela Anderson Cool What can I get you,Fry
1386,Uh cheese and a  That was quick,Fry
1388,1077 Same as my PIN number,Fry
1394,Oh I had a nightmare I was in the year 2000 and you guys never existed Im so glad Im awake now and youre really here,Fry
1395,Since when do you care about us,Leela
1401,Bender Leela Dont leave me Wait a minute Hey buddy what year is this,Fry
1403,3000 Yes Im still in the future Life is wonderful  Wait What are you doing with my stuff,Fry
1405,Oh no My ATM card My secret PIN number  1077 Ive got nothing left Except,Fry
1406,Youre Frys relative Do you have any idea how he got so crazy,Leela
1408,Leela Bender I missed you so much,Fry
1410,I was robbed They got everything except these,Fry
1415,Sorry But the anchovies arent for sale,Fry
1417,You might as well put that chequebook away because Ive discovered something even more important,Fry
1420,OK my friends Get ready for the most delicious extinct animal youve ever tasted,Fry
1422,Ah no one likes them at first but theyll grow on you,Fry
1424,There arent any more And there never will be,Fry
1434,Bender I didnt know you liked cooking Thats so cute,Leela
1436,Its OK Bender I like cooking too,Fry
1443,Youre gonna be the ships cook,Fry
1445,I know you like cooking shows but youre a robot you dont even have a sense of taste,Leela
1448,So this is Little Neptune,Fry
1455,Wait a minute This says ZRay,Fry
1457,Hmm I can see where that would be an advantage Do you take cash,Fry
1458,Fry you have to be more careful Were not in the 20th century You dont know how things work here,Leela
1459,Im not a little kid Leela I grew up in this city These are my people  What up,Fry
1462,Wow You guys sell every kind of meat here except human,Fry
1466,Oh thats ridiculous  Ill take two pounds,Leela
1473,Now that you mention it I do have trouble breathing underwater sometimes Ill take the gills,Fry
1475,Cant imagine why I would,Fry
1480,What the hell were you doing I warned you to stay away from those guys,Leela
1481,Im capable of making my own decisions Leela Did you ever stop to think I might be happier with gills,Fry
1488,Uh Professor are we even allowed in the Forbidden Zone,Leela
1492,Hey Bender hows dinner coming,Fry
1495,Listen this is Benders first meal and hes a little sensitive So lets be supportive OK,Leela
1499,Thats the saltiest thing Ive ever tasted And Ive once ate a big heaping bowl of salt,Fry
1502,My visions fading I think Im gonna die,Fry
1505,OK Fry heres the package to deliver And for once in your life be careful This is my first visit to the Galaxy of Terror and Id like it to be a pleasant one,Leela
1507,Dont touch anything or talk to anyone Just go to the palace drop it off and come right back,Leela
1508,Jeez will you lay off I was delivering things before you were born I think I know what Im doing,Fry
1509,Stupid slug Ive never been so thirsty  Ah,Fry
1515,I didnt mean to He just looked so cool and refreshing,Fry
1519,So after I specifically asked you not to touch anything you drank a bottle of strange blue liquid It could have been poisonous acid,Leela
1520,It could have been But chances were equally good it was an Emperor,Fry
1528,Thats it Fry As your captain I order you back to the ship You are in way over your head,Leela
1529,Gee you think so Captain Id better check with my Prime Minister,Fry
1532,Hey thanks  Wow This got here just in time,Fry
1536,On second thought Ill take that one,Fry
1538,Does anyone else think its odd that a shiftless 25yearold delivery boy could drop out of the sky kill the emperor and be rewarded instead of punished,Leela
1539,You dont have to beat around the bush Leela We all know who youre talking about  uh me right,Fry
1546,There wont be a lot of longwinded speeches will there,Fry
1555,Fry I have to talk to you Youre in terrible danger,Leela
1556,You see Emperor Plon here  He met his end when he was drunk by Emperor Strug And before he could even wipe his mouth Strug was drunk by Shwab,Leela
1558,Look at all these guys Do you have any idea what the average length of their reigns was,Leela
1561,Damn I knew you wouldnt have asked unless it was really high or really low,Fry
1562,Every Emperor ascended to power by assassinating the previous one And guess whos next,Leela
1563,Well at least my assassin will get whats coming to him,Fry
1564,Youre in tremendous danger you idiot Half of these Emperors were drunk at their own coronation,Leela
1565,Hey I plan on having a few brewskis myself,Fry
1566,No they were assassinated In fact the law says youll be killed on the spot if you fail to recite the oath from memory,Leela
1567,Yeah I was going to thumb through that later,Fry
1568,That is completely reckless Dont you ever think ahead,Leela
1569,Hell no If I stopped to think ahead I wouldnt be Emperor And I wouldnt even be here in the year 3000 Its just like the story of the grasshopper and the octopus All year long the grasshopper kept burying acorns for winter while the octopus mooched off his girlfriend and watched TV But then the winter came and the grasshopper died and the octopus ate all his acorns and also he got a racecar Is any of this getting through to you,Fry
